"format","amount","purchased"
"quantity-integrated",1,1
"quantity-integrated",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-sequential",0,0
"quantity-sequential",1,1
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-integrated",0,0
"quantity-integrated",2,1
"quantity-integrated",2,1
"quantity-sequential",0,0
"quantity-sequential",0,0
"quantity-sequential",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-integrated",0,0
"quantity-integrated",0,0
"quantity-integrated",2,1
"quantity-integrated",1,1
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",1,1
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-integrated",3,1
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-sequential",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-integrated",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-integrated",0,0
"quantity-integrated",0,0
"quantity-sequential",2,1
"quantity-sequential",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-integrated",0,0
"quantity-sequential",1,1
"quantity-integrated",2,1
"quantity-integrated",2,1
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",3,1
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-integrated",0,0
"quantity-integrated",2,1
"quantity-sequential",2,1
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-sequential",0,0
"quantity-integrated",2,1
"quantity-sequential",0,0
"quantity-integrated",1,1
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-sequential",0,0
"quantity-integrated",2,1
"quantity-integrated",0,0
"quantity-integrated",2,1
"quantity-sequential",0,0
"quantity-sequential",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-integrated",1,1
"quantity-sequential",2,1
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-sequential",0,0
"quantity-sequential",2,1
"quantity-integrated",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",1,1
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-sequential",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-integrated",0,0
"quantity-integrated",1,1
"quantity-sequential",0,0
"quantity-integrated",1,1
"quantity-sequential",0,0
"quantity-integrated",0,0
"quantity-sequential",0,0
"quantity-integrated",2,1
"quantity-sequential",0,0
